tf	score	n_a	n_b	n_shared	expected	replication_raw	replication
ZNF263	500	2660	1138	873	27.601714233609922	0.5476654069268073	0.761346893815584
PBRM1	500	2579	4218	2494	99.19049876903438	0.7791584874807667	0.9657231735107853
ZBTB33	500	2390	1601	1297	34.89003373757637	0.676398250047695	0.8058884710851393
ESRRG	500	432	141	89	0.5554116896142974	0.4186120961386919	0.6297472147158932
HMGB1	500	2526	266	243	6.1267073949120086	0.5048666797635419	0.9114953300147254
SREBF1	500	260	954	223	2.261694173429379	0.5457224641186905	0.8564435353086517
KDM5A	500	4312	3188	2480	125.3456369107322	0.6765281680140974	0.7688279785885314
DDIT3	500	1137	782	286	8.107358438953224	0.30863401916921407	0.35908422775606125
ZNF341	500	2835	57	56	1.4734658521017598	0.5011046133853151	0.9819905921493958
KLF9	500	1569	1788	629	25.580122184736027	0.37634099862692005	0.39096287827354836
SUZ12	500	4277	6435	3296	250.95737211634903	0.6414162669481819	0.7563364100504626
MBD2	500	400	1264	330	4.610194219020698	0.5430379746835443	0.822959522535653
ZNF639	500	2319	1051	301	22.223661894775233	0.2080956184975889	0.2709785672351954
BCL11B	500	6896	1426	1098	89.6662350688429	0.46460435628679186	0.7545523366934478
TFEB	500	2275	4138	1211	85.83888027719522	0.4124805740417147	0.5139690768239455
EBF3	500	1260	1534	936	17.62414516276101	0.6765133171912834	0.7392093554148744
ZEB1	500	1442	1961	592	25.784280113066472	0.35621385392405724	0.39980894996147803
PIAS1	500	376	226	194	0.7748335916841433	0.6871822632272642	0.8579199628962135
ELK4	500	476	64	42	0.2777787909182092	0.37224264705882354	0.6547515202300492
ZBTB21	500	751	901	706	6.169882374395915	0.8618268501783046	0.9395835386685858
MNT	500	3728	4594	2908	156.16332634266436	0.7065212415522393	0.770426233078465
NFYA	500	4181	6421	4021	244.7907449621592	0.7939790438133127	0.9593517545350972
ZNF444	500	634	893	552	5.162414516276101	0.7444017789961177	0.8696006697231325
CREM	500	3159	5475	2565	157.70516093735753	0.6402294813253717	0.8020854225086674
SRF	500	3436	2671	1634	83.68337740494209	0.5436544326180085	0.5991986481500291
NFE2	500	2073	5614	2037	106.1167320142245	0.6727383783666738	0.9816969310858664
ZNF449	500	374	0	0	0.0	0.0	0.0
TBL1XR1	500	337	105	19	0.322649767484271	0.11866610145541896	0.1784278087955843
MTA3	500	648	630	373	3.722440047414972	0.5838403880070546	0.5896388176203259
XBP1	500	1242	267	230	3.023743959150178	0.523304203079484	0.8598358785940418
TEAD4	500	1787	2279	1086	37.13479529497584	0.5421236157092826	0.5993977146838759
ZNF770	500	938	804	368	6.876556943557946	0.4250177683013504	0.4530332738324344
POU2F2	500	2680	1789	979	43.71769855019604	0.4562657992875199	0.5358917011149806
TP63	500	1891	6650	1198	114.66353606273366	0.40683880510371645	0.6098712073590163
ZBTB17	500	1351	2006	1069	24.711461657700372	0.6620835126006142	0.7873765837164921
IRF4	500	1084	980	673	9.686514087717699	0.653791701182318	0.6836074068254749
GTF3C1	500	2027	2935	1478	54.2467858119814	0.6163669507643408	0.7217087286683411
ZHX2	500	3598	2179	1844	71.48757180632808	0.6793833502422564	0.8410448282446784
ELK1	500	1096	586	476	5.856259688155375	0.6232966293814305	0.8103918178262653
HNRNPK	500	578	339	249	1.786650861675937	0.5826545610435742	0.7331066512343726
OLIG2	500	2303	1869	1200	39.24780705753624	0.5815570311318408	0.6343767191096152
TCF7L2	500	3785	1257	1060	43.382374395915015	0.5616652426727368	0.8376753963984809
SOX10	500	524	413	91	1.9733017233518737	0.19700155259412602	0.2165959015555901
ZNF274	500	190	90	52	0.1559223123917206	0.42573099415204674	0.5770450209069135
MTA2	500	867	1141	513	9.020215191027628	0.5206505554224576	0.5874028662821964
EP400	500	1618	4852	1353	71.58325886751163	0.5575358166627093	0.8286361024480812
ELF2	500	492	376	352	1.6868058721619403	0.825808683618751	0.935882570060292
TRPS1	500	175	156	50	0.24892860399379957	0.30311355311355315	0.31942683250962167
ZNF697	500	228	141	108	0.29313394729643477	0.6198208286674132	0.7654698670664769
ELF4	500	1550	451	345	6.374122367101304	0.4937736928688935	0.7615973218555715
JARID2	500	1197	178	84	1.9427920124008389	0.2710427754780209	0.46608263828300045
ZZZ3	500	267	106	69	0.25806510440412145	0.45468518125927493	0.6500915172723869
BCL11A	500	360	331	162	1.0865323242454636	0.4697129909365559	0.487744464660362
HIF1A	500	2050	14568	1897	272.3114798942281	0.527791383721086	0.9139331788051955
RFX1	500	1901	2851	1846	49.41871979575089	0.8092799835269184	0.970295659937795
KDM5C	500	55	375	45	0.18806419257773319	0.4690909090909091	0.8175579852692255
NR2F2	500	657	2097	369	12.562496580651045	0.36880475042624494	0.5530986348996012
FOXA2	500	3631	4244	2622	140.51211817269993	0.6699642517010422	0.7109286626510848
NKX2-1	500	337	631	321	1.9389714598340475	0.7306192892446166	0.9522475052687843
CUX1	500	735	641	612	4.2959332543083795	0.8937056257760514	0.9544529373776044
ZNF740	500	205	391	155	0.7308744415063372	0.5762584991578816	0.7552248786335446
IRF9	500	529	195	164	0.9405945108051427	0.5755222723086617	0.8402551016692357
CEBPD	500	1946	977	900	17.336026260599983	0.6918372306103063	0.91976358172542
ZEB2	500	692	936	613	5.906008935898605	0.7703763401017736	0.8848554264737482
GRHL2	500	1633	1467	1316	21.843813257955684	0.8514737993772779	0.8955130238618609
FOSL1	500	1282	795	482	9.293243366463026	0.4911321735888303	0.6016325462936206
PHF20	500	2963	3641	2723	98.3704112337011	0.8334362381854462	0.9162195346507749
HMGA1	500	70	103	50	0.06574268259323425	0.5998613037447988	0.7140171245513183
MAF1	500	44	3	1	0.0012036108324974925	0.178030303030303	0.3330657569068165
SAP30	500	2461	1107	904	24.841132488374214	0.59197592653158	0.812412016299613
ZNF574	500	511	4007	394	18.670347405853924	0.4346825540626799	0.762354350619524
GATAD2A	500	243	364	179	0.8065286769399106	0.6141918780807669	0.7357484508133959
ZFP64	500	527	809	461	3.887507978480897	0.7223010580682689	0.8738321087593433
SMARCB1	500	208	201	133	0.38121637640193307	0.650557309605817	0.6610486876065308
HSF1	500	1705	1959	1150	30.455867602808425	0.6307605023210417	0.6685665135588332
TET2	500	1125	2284	561	23.4293790462296	0.372144191476941	0.48800377454540944
TCF7	500	3292	3471	2754	104.19013403847907	0.8150023996782225	0.8312320926838821
ZBTB44	500	136	0	0	0.0	0.0	0.0
BATF3	500	651	21	17	0.12465578553843348	0.41781874039938555	0.8083863931101568
ESRRA	500	1323	435	393	5.247606455730829	0.6002502150285401	0.9022693052303534
PML	500	872	1980	511	15.743229689067201	0.4220449911963673	0.578397494166487
HNF4G	500	799	96	85	0.6994073128476338	0.49589982269503546	0.8845757440763228
RFX3	500	955	677	651	5.8952767393088354	0.8216353329672794	0.9612579093860731
