tf	pick	reason	rep_at_pick	n_assign_at_pick	n_assign_strict
RAD51	400.0		0.821341020111239	1421.0	1202.0
RAG1		too few assignments			
RARA	50.0		0.771627763875144	6257.0	709.0
RARB		too few assignments			
RB1	50.0		0.7715986945935596	14053.0	469.0
RBAK	500.0		0.8499644303381854	26.0	26.0
RBBP4	400.0		1.0	1594.0	904.0
RBBP5	500.0		0.8802761526257096	1578.0	1578.0
RBBP8		too few assignments			
RBL2	400.0		0.8890704868955471	1093.0	902.0
RBPJ	400.0		0.7959423611460866	6666.0	4840.0
REL	100.0		0.7051356928857789	9641.0	765.0
RELA	100.0		0.8075666936638867	30543.0	10019.0
RELB	150.0		0.7686545735666493	1301.0	275.0
REST	50.0		0.6866449677909031	25286.0	3849.0
RFX1	500.0		0.970295659937795	1901.0	1901.0
RFX3	400.0		0.9617518790300553	1059.0	955.0
RFX5	500.0		0.7789515312874647	1045.0	1045.0
RPA2		too few assignments			
RREB1	500.0		0.9400736817968487	263.0	263.0
RTF1		too few assignments			
RUNX1	50.0		0.8172943438807798	41282.0	15926.0
RUNX1T1	50.0		0.8125913167442422	18014.0	2929.0
RUNX2	500.0		0.8945176308756251	7022.0	7022.0
RUNX3	400.0		0.9134143227904976	1331.0	922.0
RUVBL2	400.0		0.8203841208217117	7763.0	5557.0
RXRA	200.0		0.8292991857739324	13502.0	3637.0
RYBP	300.0		0.9225834961030563	699.0	155.0
SAFB2	100.0	peak below floor	0.3654886456776434	5965.0	20.0
SALL2		too few assignments			
SALL4	50.0		0.7088216396471981	2058.0	39.0
SAMD1		too few assignments			
SAP30	500.0		0.812412016299613	2461.0	2461.0
SATB1	300.0		0.8330486620449445	187.0	61.0
SETDB1	200.0		0.7463411914451856	378.0	49.0
SFPQ	50.0		0.8628469279734708	20077.0	1685.0
SIN3A	400.0		0.8059529592153614	5253.0	3366.0
SIRT1	400.0	peak below floor	0.4840315542396233	73.0	50.0
SIRT3		too few assignments			
SIRT6	500.0		0.8332953319044796	25.0	25.0
SIX1		too few assignments			
SIX2	400.0		0.7131907488044525	602.0	400.0
SIX4	500.0		0.9786771304982167	141.0	141.0
SIX5	150.0		0.8656689262229381	4366.0	2261.0
SKI	50.0		0.6255211548414569	6753.0	292.0
SKIL	100.0		0.7851550527861382	7147.0	282.0
SMAD1	50.0		0.7183898619777587	15657.0	1284.0
SMAD2	50.0		0.528253372973594	12488.0	1392.0
SMAD3	300.0		0.8737701186892236	7880.0	1138.0
SMAD4	50.0		0.7694867453740375	20169.0	1856.0
SMAD5	400.0		0.8575566596208923	5986.0	4536.0
SMARCA2	500.0		0.7042589728156639	602.0	602.0
SMARCA4	50.0		0.7142112280617009	59567.0	4434.0
SMARCA5	400.0		0.9207534790333085	414.0	195.0
SMARCB1	400.0		0.6623441634071765	332.0	208.0
SMARCC1	50.0		0.6753167278635569	29116.0	4081.0
SMARCC2	500.0		0.8010905749106312	1059.0	1059.0
SMARCE1	50.0	peak below floor	0.24234093791991407	3393.0	94.0
SMC1A	500.0		0.8346844825898072	10934.0	10934.0
SMC1B		too few assignments			
SMC2		too few assignments			
SMC3	50.0		0.6930199589373142	20686.0	4469.0
SMYD3		too few assignments			
SNAI1		too few assignments			
SNAI2	500.0		0.8838949480704645	4488.0	4488.0
SNAPC4	500.0		0.8666034167138	52.0	52.0
SOX1		too few assignments			
SOX10	100.0		0.572597913198822	7647.0	524.0
SOX13	500.0		1.0	875.0	875.0
SOX17	150.0		0.5903904202722858	2622.0	329.0
SOX2	50.0		0.7145467120476748	15818.0	591.0
SOX6	100.0		0.9093847853567514	3406.0	128.0
SOX9	250.0		0.9038321995961952	2338.0	791.0
SP1	500.0		0.788112873859162	8901.0	8901.0
SP2	250.0		0.7857779633190293	5518.0	3672.0
SPDEF	400.0		0.8796928421245086	280.0	168.0
SPI1	400.0		0.9278644122206394	15171.0	12504.0
SREBF1	500.0		0.8564435353086517	260.0	260.0
SREBF2	300.0		0.8917548870839186	10291.0	5567.0
SRF	50.0		0.7499712760339197	17815.0	3436.0
SSRP1	200.0		0.5562385849218556	844.0	91.0
STAT1	50.0		0.7365120770318699	27105.0	7965.0
STAT2	50.0		0.8329314610277656	11484.0	1213.0
STAT3	500.0		0.9103712218293172	7244.0	7244.0
STAT4	50.0		0.568754669497857	680.0	134.0
STAT5A	500.0		0.9071912859248109	3198.0	3198.0
STAT5B	400.0		0.7459796561710527	535.0	408.0
STAT6		too few assignments			
SUPT6H	150.0		0.5880086808880282	1609.0	170.0
SUV39H1		too few assignments			
SUZ12	400.0		0.7684031285234545	5931.0	4277.0
TAF1	300.0		0.8370995441370764	19887.0	13560.0
TAF15	250.0		0.8753426935716507	129.0	44.0
TAF2		too few assignments			
TAF7	50.0		0.8363032302479996	2186.0	88.0
TAL1	50.0	peak below floor	0.489221718161535	13913.0	4413.0
TARDBP	50.0		0.7327507501625606	11292.0	573.0
TBL1XR1	50.0		0.5130277675290132	4940.0	337.0
TBP	250.0		0.7724401066460644	15910.0	8438.0
TBX2	250.0		0.8509858387035809	7539.0	2133.0
TBX21	200.0		0.9380162253141577	2163.0	239.0
TBX3	500.0		0.9410829941679311	174.0	174.0
TBX5	50.0		0.7243824545159426	754.0	71.0
TBXT	100.0		0.5971532209926994	775.0	80.0
TCF12	50.0		0.5370888340398978	19662.0	5989.0
TCF21	500.0		0.991750114604727	1226.0	1226.0
TCF3	50.0	peak below floor	0.38164662221018175	13871.0	2638.0
TCF4	150.0		0.7241341039823848	9327.0	2251.0
TCF7	500.0		0.8312320926838821	3292.0	3292.0
TCF7L1	50.0		0.9401051750286585	354.0	53.0
TCF7L2	100.0		0.87693776207583	18424.0	3785.0
TEAD1	150.0		0.8373641554901526	4295.0	704.0
TEAD2	400.0		0.8822917633749968	57.0	39.0
TEAD4	100.0		0.7167997193574736	15303.0	1787.0
TERF1		too few assignments			
TET1	50.0		0.5597788078300541	19668.0	3914.0
TET2	50.0		0.5786996545988227	25036.0	1125.0
TET3		too few assignments			
TFAM		too few assignments			
TFAP2A	400.0		0.7570145483814148	12114.0	9770.0
TFAP2C	300.0		0.9085948093644253	7300.0	4036.0
TFAP4	150.0		0.8981300157341261	14975.0	4194.0
TFCP2		too few assignments			
TFDP1	250.0		0.9724439524322211	1044.0	224.0
TFE3	500.0		0.7277949497395575	1157.0	1157.0
TFEB	150.0		0.5928729577864814	7237.0	2275.0
THAP11	500.0		0.9044978888179868	4905.0	4905.0
THRA	150.0		0.9446695311647963	8340.0	621.0
THRB		too few assignments			
TLX3	50.0		0.8849237693422574	5179.0	176.0
TOP1		too few assignments			
TOP2A		too few assignments			
TOP2B	50.0		0.6357799341511815	10109.0	151.0
TP53	50.0		0.6223824244936258	21943.0	3717.0
TP53BP1	300.0		0.6044733008135856	12773.0	10935.0
